202511736,Fatma Yıldız,CS,1,fatma.yildiz,ME,1
202233014,Selin Polat,EE,4,selin.polat5968
202333626,Selin Polat,EE,3,selin.polat7211
202244021,Mehmet Özkan,EE,4,mehmet.özkan1528
202444344,Ece Doğan,ME,2,ece.doğan2554
202444948,Zeynep Yavuz,ME,2,zeynep.yavuz7261
202344967,Kaan Yıldız,ME,3,kaan.yıldız3471
202344246,Kerem Kılıç,ME,3,kerem.kılıç5642,CE,1
202244850,Mert Şahin,ME,4,mert.şahin6751
202244265,Mehmet Güneş,ME,4,mehmet.güneş9699
202244382,Ahmet Aydın,ME,4,ahmet.aydın680
202344994,Arda Yılmaz,ME,3,arda.yılmaz2756
202344534,Deniz Kaya,ME,3,deniz.kaya410
202344831,Ayşe Bulut,ME,3,ayşe.bulut3175
202444623,Kaan Aydın,ME,2,kaan.aydın644
202244085,Oğuz Kılıç,ME,4,oğuz.kılıç7463
202444290,Arda Doğan,ME,2,arda.doğan3813
202344705,Mehmet Demir,ME,3,mehmet.demir6518
202544695,Ahmet Çelik,ME,1,ahmet.çelik494
202544956,Kerem Şahin,ME,1,kerem.şahin4183
202544893,Duru Demir,ME,1,duru.demir313
202244067,Mehmet Şahin,ME,4,mehmet.şahin6361
202544244,Burak Arslan,ME,1,burak.arslan283
202444245,Gizem Kaya,ME,2,gizem.kaya6533
202244904,Deniz Doğan,ME,4,deniz.doğan4546
202244364,Oğuz Doğan,ME,4,oğuz.doğan928
202244788,Emre Yıldız,ME,4,emre.yıldız3367
202544938,Gizem Doğan,ME,1,gizem.doğan5606
202444092,Selin Öztürk,ME,2,selin.öztürk2667
202444777,Arda Güneş,ME,2,arda.güneş5870
202444524,Mehmet Kılıç,ME,2,mehmet.kılıç8906
202444902,Oğuz Şahin,ME,2,oğuz.şahin6900
202544659,Ece Kılıç,ME,1,ece.kılıç7837
202244805,Ece Şahin,ME,4,ece.şahin6245
202244832,Kaan Aksoy,ME,4,kaan.aksoy4961
202444957,Oğuz Güneş,ME,2,oğuz.güneş3156
202422546,Mert Polat,IE,2,mert.polat9918
202522275,Emre Yılmaz,IE,1,emre.yılmaz8588
202322853,Zeynep Özkan,IE,3,zeynep.özkan3291
202522789,Duru Demir,IE,1,duru.demir7003
202322745,Beren Arslan,IE,3,beren.arslan5682
202322565,Oğuz Yılmaz,IE,3,oğuz.yılmaz4061
202322213,Oğuz Doğan,IE,3,oğuz.doğan7601
202322295,Burak Özkan,IE,3,burak.özkan2743
202222764,Ayşe Yavuz,IE,4,ayşe.yavuz8867
202222377,Can Yılmaz,IE,4,can.yılmaz6147
202422474,Arda Kaya,IE,2,arda.kaya3097
202222999,Mehmet Demir,IE,4,mehmet.demir2731
202522626,Burak Güneş,IE,1,burak.güneş1126
202322989,Selin Doğan,IE,3,selin.doğan7330
202422168,Ece Çelik,IE,2,ece.çelik3296
202222331,Zeynep Güneş,IE,4,zeynep.güneş991
202522518,Selin Demir,IE,1,selin.demir9054
202422861,Ayşe Bulut,IE,2,ayşe.bulut1645
202522176,Deniz Güneş,IE,1,deniz.güneş1804
202222836,Duru Çelik,IE,4,duru.çelik6965
202422320,Duru Kılıç,IE,2,duru.kılıç837
202222412,Selin Güneş,IE,4,selin.güneş149
202522257,Burak Aydın,IE,1,burak.aydın6487
202522220,Can Özkan,IE,1,can.özkan9548
202522824,Selin Yıldız,IE,1,selin.yıldız674
202522833,Burak Kaya,IE,1,burak.kaya3611
202222269,Gizem Aydın,IE,4,gizem.aydın4558
202522446,Beren Bulut,IE,1,beren.bulut4015
202222601,Emre Yıldız,IE,4,emre.yıldız7641
202522770,Ece Yıldız,IE,1,ece.yıldız2976
202422645,Mert Kılıç,IE,2,mert.kılıç4018
202222016,Zeynep Çelik,IE,4,zeynep.çelik5761
202455810,Zeynep Bulut,CE,2,zeynep.bulut2644
202355767,Selin Yıldız,CE,3,selin.yıldız9684
202455531,Oğuz Doğan,CE,2,oğuz.doğan5089
202355343,Burak Demir,CE,3,burak.demir2266
202455469,Oğuz Polat,CE,2,oğuz.polat6774
202555675,Oğuz Bulut,CE,1,oğuz.bulut3541
202455270,Ahmet Güneş,CE,2,ahmet.güneş5457
202555459,Emre Aydın,CE,1,emre.aydın8560
202555620,Zeynep Doğan,CE,1,zeynep.doğan73
202355280,Oğuz Demir,CE,3,oğuz.demir2657
202455865,Mert Polat,CE,2,mert.polat5489
202255245,Ayşe Demir,CE,4,ayşe.demir6966
202455432,Kerem Kılıç,CE,2,kerem.kılıç9540
202355794,Mehmet Kılıç,CE,3,mehmet.kılıç3640
202555062,Kerem Çelik,CE,1,kerem.çelik9861
202555422,Can Yılmaz,CE,1,can.yılmaz4057
202355875,Zeynep Öztürk,CE,3,zeynep.öztürk9774
202355712,Ayşe Doğan,CE,3,ayşe.doğan271
202255885,Mert Şahin,CE,4,mert.şahin2925
202255227,Can Yavuz,CE,4,can.yavuz2376
202555468,Mert Kılıç,CE,1,mert.kılıç4540
202555116,Kerem Yavuz,CE,1,kerem.yavuz6942
202355703,Emre Şahin,CE,3,emre.şahin6134
202255795,Deniz Öztürk,CE,4,deniz.öztürk5907
202455397,Ahmet Kaya,CE,2,ahmet.kaya8005
202410855,Oğuz Aksoy,CEN,2,oğuz.aksoy6951
202510827,Beren Yılmaz,CEN,1,beren.yılmaz6646
202210280,Mert Çelik,CEN,4,mert.çelik8453
202510584,Fatma Yılmaz,CEN,1,fatma.yılmaz3110
202510142,Kerem Güneş,CEN,1,kerem.güneş215
202410107,Zeynep Yıldız,CEN,2,zeynep.yıldız4873
202510070,Ece Demir,CEN,1,ece.demir27
202310171,Ayşe Güneş,CEN,3,ayşe.güneş8084
202410512,Fatma Arslan,CEN,2,fatma.arslan3248
202310577,Selin Bulut,CEN,3,selin.bulut9362
202210118,Beren Aksoy,CEN,4,beren.aksoy9511
202210046,Mert Kaya,CEN,4,mert.kaya2475
202210776,Can Şahin,CEN,4,can.şahin101
202310397,Mehmet Kılıç,CEN,3,mehmet.kılıç8861
202310351,Emre Demir,CEN,3,emre.demir926
202210668,Zeynep Demir,CEN,4,zeynep.demir6951
202210271,Kerem Aydın,CEN,4,kerem.aydın3979
202410981,Duru Öztürk,CEN,2,duru.öztürk3416
202210893,Mehmet Güneş,CEN,4,mehmet.güneş6629
202410477,Duru Kaya,CEN,2,duru.kaya9412
202310919,Mehmet Doğan,CEN,3,mehmet.doğan5495
202510773,Gizem Yılmaz,CEN,1,gizem.yılmaz3791
202410873,Gizem Kaya,CEN,2,gizem.kaya7535
202210262,Pelin Çelik,CEN,4,pelin.çelik2223
202510331,Burak Yavuz,CEN,1,burak.yavuz4652
202310892,Ece Yıldız,CEN,3,ece.yıldız9869
202510926,Zeynep Yıldız,CEN,1,zeynep.yıldız2945
202310496,Deniz Yılmaz,CEN,3,deniz.yılmaz3124
202510683,Kaan Güneş,CEN,1,kaan.güneş7920
202510449,Zeynep Aksoy,CEN,1,zeynep.aksoy5296
202310324,Mehmet Yavuz,CEN,3,mehmet.yavuz4768
202310757,Arda Kaya,CEN,3,arda.kaya7008
202474576,Ahmet Yavuz,MBG,2,ahmet.yavuz5396
202574304,Mehmet Demir,MBG,1,mehmet.demir2872
202574269,Fatma Yıldız,MBG,1,fatma.yıldız2868
202474026,Pelin Öztürk,MBG,2,pelin.öztürk4704
202374432,Ahmet Kaya,MBG,3,ahmet.kaya3173
202574034,Deniz Aksoy,MBG,1,deniz.aksoy1765
202374487,Kaan Aydın,MBG,3,kaan.aydın1531
202574566,Beren Şahin,MBG,1,beren.şahin6864
202374351,Burak Yavuz,MBG,3,burak.yavuz87
202474828,Deniz Kaya,MBG,2,deniz.kaya3478
202374342,Ece Kaya,MBG,3,ece.kaya3441
202574881,Kaan Aksoy,MBG,1,kaan.aksoy8724
202574133,Kaan Öztürk,MBG,1,kaan.öztürk2237
202574007,Kerem Şahin,MBG,1,kerem.şahin6308
202574043,Kaan Yılmaz,MBG,1,kaan.yılmaz4777
202274154,Mert Şahin,MBG,4,mert.şahin9688
202374991,Oğuz Bulut,MBG,3,oğuz.bulut9290
202574944,Oğuz Yavuz,MBG,1,oğuz.yavuz3060
202574836,Deniz Öztürk,MBG,1,deniz.öztürk7205
202574395,Burak Demir,MBG,1,burak.demir273
202374036,Gizem Güneş,MBG,3,gizem.güneş1845
202574656,Ayşe Güneş,MBG,1,ayşe.güneş6790
202574214,Mehmet Özkan,MBG,1,mehmet.özkan2710
202574737,Ayşe Yıldız,MBG,1,ayşe.yıldız8803
202566385,Kerem Çelik,BA,1,kerem.çelik6271
202266414,Selin Öztürk,BA,4,selin.öztürk7410
202266487,Emre Doğan,BA,4,emre.doğan2476
202266793,Arda Yılmaz,BA,4,arda.yılmaz843
202566196,Burak Kılıç,BA,1,burak.kılıç5716
202566439,Ayşe Kılıç,BA,1,ayşe.kılıç4056
202266711,Pelin Demir,BA,4,pelin.demir2710
202266621,Kaan Yavuz,BA,4,kaan.yavuz1195
202466863,Deniz Demir,BA,2,deniz.demir5732
202366909,Burak Bulut,BA,3,burak.bulut7764
202266199,Arda Bulut,BA,4,arda.bulut4800
202266649,Fatma Şahin,BA,4,fatma.şahin5064
202566709,Emre Aydın,BA,1,emre.aydın1377
202266883,Duru Güneş,BA,4,duru.güneş541
202266298,Kerem Yıldız,BA,4,kerem.yıldız2731
202266063,Mert Çelik,BA,4,mert.çelik2715
202566457,Mert Yavuz,BA,1,mert.yavuz5322
202566150,Kaan Kılıç,BA,1,kaan.kılıç9803
202366017,Gizem Öztürk,BA,3,gizem.öztürk5783
202466278,Emre Bulut,BA,2,emre.bulut5195
202266333,Ece Güneş,BA,4,ece.güneş1136
202566989,Pelin Şahin,BA,1,pelin.şahin6648
202566277,Ahmet Yavuz,BA,1,ahmet.yavuz5620
202266757,Duru Aksoy,BA,4,duru.aksoy947
202566079,Ayşe Arslan,BA,1,ayşe.arslan8244
202466197,Deniz Polat,BA,2,deniz.polat1680
202566501,Ece Öztürk,BA,1,ece.öztürk4889
202466485,Selin Yılmaz,BA,2,selin.yılmaz7398
202366620,Zeynep Kaya,BA,3,zeynep.kaya799
202266865,Can Yıldız,BA,4,can.yıldız4455
202477564,Deniz Bulut,PSY,2,deniz.bulut6879
202377204,Ece Polat,PSY,3,ece.polat8067
202477357,Ayşe Yavuz,PSY,2,ayşe.yavuz130
202277764,Ece Yıldız,PSY,4,ece.yıldız2681
202277971,Fatma Polat,PSY,4,fatma.polat8850
202477843,Arda Demir,PSY,2,arda.demir2905
202377646,Can Çelik,PSY,3,can.çelik8219
202377628,Ayşe Aksoy,PSY,3,ayşe.aksoy4157
202277791,Pelin Kılıç,PSY,4,pelin.kılıç7382
202377231,Mert Aksoy,PSY,3,mert.aksoy2458
202277250,Kaan Kılıç,PSY,4,kaan.kılıç9620
202377178,Arda Kaya,PSY,3,arda.kaya9760
202277845,Gizem Doğan,PSY,4,gizem.doğan6594
202477951,Burak Kılıç,PSY,2,burak.kılıç4150
202277476,Selin Şahin,PSY,4,selin.şahin8997
202577112,Mert Yıldız,PSY,1,mert.yıldız7008
202377998,Arda Doğan,PSY,3,arda.doğan6813
202377655,Deniz Kaya,PSY,3,deniz.kaya3227
202577040,Arda Doğan,PSY,1,arda.doğan4637
202277124,Ayşe Doğan,PSY,4,ayşe.doğan4380
202477528,Kerem Şahin,PSY,2,kerem.şahin469
202577347,Fatma Güneş,PSY,1,fatma.güneş7508
202377790,Deniz Yılmaz,PSY,3,deniz.yılmaz2182
202477979,Duru Kaya,PSY,2,duru.kaya4521
202477591,Can Aksoy,PSY,2,can.aksoy2978
202377817,Beren Şahin,PSY,3,beren.şahin2005
202577833,Deniz Yılmaz,PSY,1,deniz.yılmaz7475
202577446,Arda Şahin,PSY,1,arda.şahin5408
202477087,Kaan Kılıç,PSY,2,kaan.kılıç7087
202477825,Fatma Kılıç,PSY,2,fatma.kılıç5709
202577293,Can Yavuz,PSY,1,can.yavuz2215
202333590,Mehmet Doğan,EE,3,mehmet.doğan5598
202433076,Mert Güneş,EE,2,mert.güneş6136
202333365,Gizem Doğan,EE,3,gizem.doğan2597
202433454,Ayşe Şahin,EE,2,ayşe.şahin4816
202533345,Ayşe Güneş,EE,1,ayşe.güneş3406
202433977,Zeynep Aksoy,EE,2,zeynep.aksoy8524
202233249,Ece Bulut,EE,4,ece.bulut7255
202233537,Can Aksoy,EE,4,can.aksoy9032
202233690,Deniz Çelik,EE,4,deniz.çelik9786
202333671,Gizem Yavuz,EE,3,gizem.yavuz5433
202374658,Mert Demir,MBG,3,mert.demir8582
202574359,Oğuz Bulut,MBG,1,oğuz.bulut4447
202274848,Fatma Şahin,MBG,4,fatma.şahin7344
202311594,Melis Aydın,CS,1,melis.aydin
202311684,Mehmet Uzun,CS,1,mehmet.uzun
202311819,Ayşe Koç,CS,1,ayse.koc
202311936,Zeynep Arslan,CS,1,zeynep.arslan
202311341,Zeynep Aslan,CS,1,zeynep.aslan
202344246,Tuğba Uysal,ME,1,tugba.uysal
202344705,Fatma Erdem,ME,1,fatma.erdem
202355091,Duru Özcan,CE,1,duru.ozcan
202355758,Tuğba Demir,CE,1,tugba.demir
202355532,Berk Korkmaz,CE,1,berk.korkmaz
202355640,Simge Yaman,CE,1,simge.yaman
202355325,Ahmet Öztürk,CE,1,ahmet.ozturk
202374577,Azra Özbek,MBG,1,azra.ozbek
202374306,Fatma Yıldırım,MBG,1,fatma.yildirim
202374973,Duru Sarı,MBG,1,duru.sari
202374522,Kerem Aksoy,MBG,1,kerem.aksoy
202311198,Azra Öztürk,CS,1,azra.ozturk
202355451,Ayşe Uzun,CE,1,ayse.uzun
202355712,Emre Karadeniz,CE,1,emre.karadeniz
202355938,Ayşe Korkmaz,CE,1,ayse.korkmaz
202374621,Selin Aslan,MBG,1,selin.aslan
202374333,Beren Koç,MBG,1,beren.koc
202374784,Batuhan Korkmaz,MBG,1,batuhan.korkmaz
202374108,Melis Yiğit,MBG,1,melis.yigit
202366053,Onur Yıldız,BA,1,onur.yildiz
202366279,Bora Demir,BA,1,bora.demir
202377592,Duru Özdemir,PSY,1,duru.ozdemir
202377088,Duru Şahin,PSY,1,duru.sahin
202310603,Arda Yiğit,CEN,1,arda.yigit
202377178,İrem Erten,PSY,1,irem.erten
202377989,Ahmet Çakır,PSY,1,ahmet.cakir
202311125,Mehmet Avcı,CS,1,mehmet.avci
202311891,Tolga Aydın,CS,1,tolga.aydin
202311954,Mert Doğan,CS,1,mert.dogan
202311323,Arda Polat,CS,1,arda.polat
202311486,Mehmet Kurt,CS,1,mehmet.kurt
202311143,Sinan Can,CS,1,sinan.can
202311279,Berk Çakır,CS,1,berk.cakir
202311882,Alara Arslan,CS,1,alara.arslan
202311215,Arda Özbek,CS,1,arda.ozbek
202311224,Sinan Yaman,CS,1,sinan.yaman
202311422,Simge Tekin,CS,1,simge.tekin
202311512,Simge Kılıç,CS,1,simge.kilic
202311431,Doruk Kılıç,CS,1,doruk.kilic
202311459,Yiğit Can,CS,1,yigit.can
202311639,Ahmet Avcı,CS,1,ahmet.avci
202311242,Arda Aktaş,CS,1,arda.aktas
202311837,Damla Kaya,CS,1,damla.kaya
202311648,Ahmet Karadeniz,CS,1,ahmet.karadeniz
202311684,Serra Güneş,CS,1,serra.gunes
202311161,Oğuz Kaplan,CS,1,oguz.kaplan
202311846,Kerem Yiğit,CS,1,kerem.yigit
202311756,Arda Özdemir,CS,1,arda.ozdemir
202311387,Onur Avcı,CS,1,onur.avci
202311738,Mehmet Yiğit,CS,1,mehmet.yigit
202311783,Oğuz Özcan,CS,1,oguz.ozcan
202311332,Kerem Can,CS,1,kerem.can
202311323,Berk Uzun,CS,1,berk.uzun
202311062,Beren Güneş,CS,1,beren.gunes
202333419,Serra Kılıç,EE,1,serra.kilic
202333879,İrem Çetin,EE,1,irem.cetin
202333293,Arda Özcan,EE,1,arda.ozcan
202333211,Melis Yılmaz,EE,1,melis.yilmaz
202333969,Damla Yıldırım,EE,1,damla.yildirim
202333572,Oğuz Aktaş,EE,1,oguz.aktas
202333923,Burak Korkmaz,EE,1,burak.korkmaz
202333617,Azra Aslan,EE,1,azra.aslan
202333536,Utku Demir,EE,1,utku.demir
202333662,Arda Tekin,EE,1,arda.tekin
202333077,Ece Aslan,EE,1,ece.aslan
202333914,Alara Şahin,EE,1,alara.sahin
202333068,Burak Şahin,EE,1,burak.sahin
202333725,Deniz Kaplan,EE,1,deniz.kaplan
202333473,Kaan Aslan,EE,1,kaan.aslan
202333996,Emre Koç,EE,1,emre.koc
202333699,Pelin Yıldız,EE,1,pelin.yildiz
202333716,Tuğba Özdemir,EE,1,tugba.ozdemir
202333815,Zeynep Çetin,EE,1,zeynep.cetin
202333590,Simge Özdemir,EE,1,simge.ozdemir
202333194,Duru Can,EE,1,duru.can
202333121,Yiğit Güneş,EE,1,yigit.gunes
202333581,Bora Korkmaz,EE,1,bora.korkmaz
202333040,Yiğit Demir,EE,1,yigit.demir
202333716,Damla Güneş,EE,1,damla.gunes
202333581,Ayşe Uysal,EE,1,ayse.uysal
202333581,Onur Şahin,EE,1,onur.sahin
202333167,Emre Özcan,EE,1,emre.ozcan
202333365,Burak Erdem,EE,1,burak.erdem
202333734,Kaan Aktaş,EE,1,kaan.aktas
202333518,Azra Avcı,EE,1,azra.avci
202333527,Sinan Özcan,EE,1,sinan.ozcan
202333095,Onur Özcan,EE,1,onur.ozcan
202333158,Kaan Yaman,EE,1,kaan.yaman
202344200,Yiğit Yıldız,ME,1,yigit.yildiz
202344507,Alara Karadeniz,ME,1,alara.karadeniz
202344219,Doruk Çetin,ME,1,doruk.cetin
202344381,Azra Güneş,ME,1,azra.gunes
202344101,Gökçe Çetin,ME,1,gokce.cetin
202344877,Alara Doğan,ME,1,alara.dogan
202344507,Alara Bulut,ME,1,alara.bulut
202344903,Simge Korkmaz,ME,1,simge.korkmaz
202344651,Emir Özdemir,ME,1,emir.ozdemir
202344525,Tuğba Aslan,ME,1,tugba.aslan
202344264,Ahmet Uzun,ME,1,ahmet.uzun
202344589,Simge Kaya,ME,1,simge.kaya
202344499,Azra Kaya,ME,1,azra.kaya
202344390,Alara Çetin,ME,1,alara.cetin
202344093,Batuhan Avcı,ME,1,batuhan.avci
202344147,Batuhan Çetin,ME,1,batuhan.cetin
202344363,Kaan Yiğit,ME,1,kaan.yigit
202344624,Utku Can,ME,1,utku.can
202344011,Serra Çelik,ME,1,serra.celik
202344318,Damla Yiğit,ME,1,damla.yigit
202344912,Mert Yaman,ME,1,mert.yaman
202344327,Bora Erdem,ME,1,bora.erdem
202344912,Arda Sarı,ME,1,arda.sari
202344859,Utku Yılmaz,ME,1,utku.yilmaz
202344084,Kaan Özcan,ME,1,kaan.ozcan
202322196,Emre Korkmaz,IE,1,emre.korkmaz
202322420,Melis Çelik,IE,1,melis.celik
202322367,Selin Erdem,IE,1,selin.erdem
202322637,Serra Avcı,IE,1,serra.avci
202322196,Doruk Sarı,IE,1,doruk.sari
202322097,Melis Kaya,IE,1,melis.kaya
202322006,Zeynep Yıldırım,IE,1,zeynep.yildirim
202322871,Fatma Korkmaz,IE,1,fatma.korkmaz
202322231,Simge Erdem,IE,1,simge.erdem
202322312,Zeynep Özcan,IE,1,zeynep.ozcan
202322169,Ahmet Özkan,IE,1,ahmet.ozkan
202322646,Emre Kurt,IE,1,emre.kurt
202322484,Selin Yıldırım,IE,1,selin.yildirim
202322493,Onur Sarı,IE,1,onur.sari
202322961,Buse Karadeniz,IE,1,buse.karadeniz
202322439,Sinan Aksoy,IE,1,sinan.aksoy
202322079,Ahmet Yıldırım,IE,1,ahmet.yildirim
202322736,Can Çakır,IE,1,can.cakir
202322204,İrem Doğan,IE,1,irem.dogan
202322501,Mehmet Karadeniz,IE,1,mehmet.karadeniz
202322934,Pelin Yıldırım,IE,1,pelin.yildirim
202322033,Gizem Kurt,IE,1,gizem.kurt
202322998,Emir Çetin,IE,1,emir.cetin
202322268,Emir Kılıç,IE,1,emir.kilic
202322556,Batuhan Özdemir,IE,1,batuhan.ozdemir
202322934,Serra Aksoy,IE,1,serra.aksoy
202322790,Melis Yaman,IE,1,melis.yaman
202322042,Gökçe Aktaş,IE,1,gokce.aktas
202322637,Ahmet Kurt,IE,1,ahmet.kurt
202322790,Berk Özcan,IE,1,berk.ozcan
202322042,Doruk Aydın,IE,1,doruk.aydin
202322510,Alara Polat,IE,1,alara.polat
202322394,İrem Şahin,IE,1,irem.sahin
202322088,Kerem Koç,IE,1,kerem.koc
202355938,Serra Öztürk,CE,1,serra.ozturk
202355677,Fatma Özcan,CE,1,fatma.ozcan
202355334,Kerem Arslan,CE,1,kerem.arslan
202355811,Serra Yılmaz,CE,1,serra.yilmaz
202355262,Deniz Korkmaz,CE,1,deniz.korkmaz
202355857,Zeynep Yiğit,CE,1,zeynep.yigit
202355415,Bora Karadeniz,CE,1,bora.karadeniz
202355721,Beren Kurt,CE,1,beren.kurt
202355064,Azra Demir,CE,1,azra.demir
202355712,Yiğit Erdem,CE,1,yigit.erdem
202355389,Alara Erten,CE,1,alara.erten
202355307,Sinan Özdemir,CE,1,sinan.ozdemir
202355910,Zeynep Kılıç,CE,1,zeynep.kilic
202355956,Melis Kılıç,CE,1,melis.kilic
202355974,Batuhan Tekin,CE,1,batuhan.tekin
202355929,Onur Çetin,CE,1,onur.cetin
202355163,Pelin Özdemir,CE,1,pelin.ozdemir
202355091,Yiğit Korkmaz,CE,1,yigit.korkmaz
202355019,Kaan Can,CE,1,kaan.can
202355172,Melis Sarı,CE,1,melis.sari
202355938,Serra Aktaş,CE,1,serra.aktas
202355703,Melis Uzun,CE,1,melis.uzun
202355226,Berk Demir,CE,1,berk.demir
202355578,Zeynep Özbek,CE,1,zeynep.ozbek
202355550,Melis Korkmaz,CE,1,melis.korkmaz
202355299,Selin Kurt,CE,1,selin.kurt
202310360,Onur Uysal,CEN,1,onur.uysal
202310595,Batuhan Güneş,CEN,1,batuhan.gunes
202310153,Emre Özbek,CEN,1,emre.ozbek
202310379,Can Özcan,CEN,1,can.ozcan
202310757,Berk Sarı,CEN,1,berk.sari
202310090,Onur Can,CEN,1,onur.can
202310298,Sinan Aslan,CEN,1,sinan.aslan
202310612,Deniz Uysal,CEN,1,deniz.uysal
202310432,Ece Kaplan,CEN,1,ece.kaplan
202310234,İrem Aktaş,CEN,1,irem.aktas
202310306,Tolga Kılıç,CEN,1,tolga.kilic
202310829,Damla Sarı,CEN,1,damla.sari
202310342,Arda Yıldız,CEN,1,arda.yildiz
202310621,Damla Erten,CEN,1,damla.erten
202310234,Bora Özcan,CEN,1,bora.ozcan
202310946,Batuhan Karadeniz,CEN,1,batuhan.karadeniz
202310856,Ahmet Polat,CEN,1,ahmet.polat
202310504,Emir Yaman,CEN,1,emir.yaman
202310117,Berk Kaplan,CEN,1,berk.kaplan
202310009,Sinan Demir,CEN,1,sinan.demir
202310982,Onur Aydın,CEN,1,onur.aydin
202310315,Kaan Çelik,CEN,1,kaan.celik
202310333,Bora Yıldırım,CEN,1,bora.yildirim
202310487,Arda Kılıç,CEN,1,arda.kilic
202310315,Alara Demir,CEN,1,alara.demir
202310955,Buse Çetin,CEN,1,buse.cetin
202310225,Duru Yıldırım,CEN,1,duru.yildirim
202310351,Mert Özcan,CEN,1,mert.ozcan
202310603,Yiğit Tekin,CEN,1,yigit.tekin
202310829,Beren Aktaş,CEN,1,beren.aktas
202310478,İrem Kılıç,CEN,1,irem.kilic
202310478,Gökçe Özcan,CEN,1,gokce.ozcan
202310423,Bora Şimşek,CEN,1,bora.simsek
202310658,Damla Uzun,CEN,1,damla.uzun
202374388,Onur Karadeniz,MBG,1,onur.karadeniz
202374009,Kerem Polat,MBG,1,kerem.polat
202374009,Doruk Demir,MBG,1,doruk.demir
202374063,Mert Erdem,MBG,1,mert.erdem
202374874,Buse Sarı,MBG,1,buse.sari
202374883,Batuhan Erdem,MBG,1,batuhan.erdem
202374252,Alara Koç,MBG,1,alara.koc
202374153,İrem Yıldız,MBG,1,irem.yildiz
202374351,Tolga Yılmaz,MBG,1,tolga.yilmaz
202374072,Ayşe Aslan,MBG,1,ayse.aslan
202374216,Mehmet Aksoy,MBG,1,mehmet.aksoy
202374621,Bora Uysal,MBG,1,bora.uysal
202374964,Batuhan Polat,MBG,1,batuhan.polat
202374388,Simge Çakır,MBG,1,simge.cakir
202374612,Alara Kılıç,MBG,1,alara.kilic
